team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
Marshall,33.0,-1.39,73.79,76.7,40.0,26.18,64.15,0.01,8.18,26.36,13.24,18.64,12.3,11.91
Maryland,33.0,7.44,69.03,65.88,40.45,23.21,56.18,0.01,6.09,21.09,16.52,22.94,11.52,11.73
Maryland-Baltimore County,32.0,-5.93,78.66,80.72,40.16,29.84,64.03,0.01,7.97,22.31,11.0,15.75,9.5,13.06
Maryland-Eastern Shore,29.0,-6.33,65.17,70.55,40.52,23.03,57.38,0.01,5.79,19.66,13.31,18.62,10.86,13.76
Massachusetts,31.0,0.88,77.45,70.74,40.16,27.68,61.42,0.01,6.74,21.55,15.35,21.97,13.42,11.13
Massachusetts-Lowell,32.0,-6.07,80.03,70.66,40.31,28.53,60.12,0.01,5.81,17.69,17.16,23.31,11.47,13.28
McNeese State NCAA,34.0,-6.81,79.97,62.24,40.0,28.62,58.74,0.01,7.56,19.74,15.18,21.91,11.24,9.68
Memphis,32.0,4.25,80.5,75.75,40.31,28.03,61.0,0.01,8.31,23.72,16.06,22.16,11.97,13.09
Mercer,33.0,-2.55,71.15,71.85,40.0,26.67,59.42,0.01,6.36,18.42,11.45,17.12,11.15,11.12
Merrimack,33.0,-8.43,69.18,65.42,40.3,24.09,54.97,0.01,7.3,23.61,13.7,18.79,7.88,13.21
Miami (FL),32.0,7.46,75.75,73.62,40.16,27.78,61.25,0.01,8.94,24.75,11.25,15.09,10.12,12.06
Miami (OH),32.0,-4.08,70.59,70.03,40.16,24.94,56.31,0.01,8.09,22.41,12.62,17.88,8.03,11.72
Michigan,32.0,11.34,72.94,79.0,40.47,25.91,58.41,0.01,7.97,22.19,13.16,18.72,10.62,12.94
Michigan State NCAA,35.0,10.89,72.89,66.06,40.14,27.11,58.8,0.01,6.49,17.89,12.17,17.2,10.09,10.0
Middle Tennessee,33.0,-0.52,65.67,70.27,40.76,22.45,55.85,0.01,7.3,23.45,13.45,19.12,10.42,14.0
Milwaukee,35.0,-4.47,79.49,78.66,40.71,28.0,62.8,0.01,7.91,24.6,15.57,21.43,13.51,12.54
Minnesota,34.0,6.40,75.0,71.88,40.15,26.76,56.76,0.01,7.88,22.18,13.59,19.71,10.09,12.0
Mississippi,32.0,7.27,74.94,73.91,40.0,26.22,58.62,0.01,7.53,20.62,14.97,20.56,10.41,10.75
Mississippi State NCAA,35.0,9.16,74.09,69.06,40.14,26.2,57.91,0.01,7.17,22.31,14.51,21.66,12.46,13.0
Mississippi Valley State,31.0,-3.91,55.45,77.71,40.16,19.77,51.97,0.01,4.61,15.77,11.29,17.16,9.61,15.97
Missouri,32.0,7.30,72.16,76.19,40.16,25.22,57.44,0.01,7.28,22.81,14.44,18.22,9.16,11.56
Missouri State,33.0,1.01,71.24,71.27,40.61,25.7,58.52,0.01,6.76,21.55,13.09,18.42,10.15,12.03
Monmouth,33.0,-2.98,72.42,72.61,40.03,26.06,60.55,0.01,7.64,22.0,12.67,17.73,11.21,10.45
Montana,36.0,-4.11,76.89,71.83,40.28,27.97,57.64,0.01,7.69,21.5,13.25,16.72,8.31,10.31
Montana State NCAA,35.0,-4.46,75.29,74.46,40.57,26.89,57.49,0.01,9.11,24.66,12.4,17.03,6.77,11.66
Morehead State NCAA,35.0,-5.52,75.29,63.43,40.0,26.97,57.74,0.01,9.4,26.06,11.94,16.91,11.63,11.8
Morgan State,31.0,-5.90,72.68,77.48,40.32,27.1,60.06,0.01,4.77,16.29,13.71,18.1,10.9,14.55
Mount St. Mary's,32.0,-7.45,72.72,71.81,40.47,27.38,57.88,0.01,6.78,19.22,11.19,15.44,9.75,14.53
Murray State,32.0,1.59,69.75,69.91,40.16,25.66,57.53,0.01,6.53,20.34,11.91,17.09,9.34,9.5
Navy,31.0,-9.54,66.45,66.68,40.32,23.1,58.35,0.01,5.84,19.45,14.42,20.35,12.45,10.23
NC State NCAA,41.0,8.93,75.63,71.76,40.49,27.24,60.56,0.01,6.95,20.17,14.2,19.37,10.12,9.56
Nebraska NCAA,34.0,7.53,77.74,70.91,40.44,26.82,59.32,0.01,9.38,26.26,14.71,19.35,9.59,11.09
Nevada NCAA,34.0,4.58,75.94,66.94,40.15,25.91,54.71,0.01,6.68,18.38,17.44,24.24,8.88,10.06
Nevada-Las Vegas,34.0,6.25,73.56,68.85,40.59,26.65,57.62,0.01,6.79,20.15,13.47,18.62,10.29,11.06
New Hampshire,31.0,-3.61,74.13,74.1,40.16,25.84,62.39,0.01,8.87,27.35,13.58,18.23,9.19,12.0
New Mexico NCAA,36.0,5.38,81.0,70.69,40.0,29.64,65.08,0.01,6.47,19.75,15.25,21.56,12.83,10.03
New Mexico State,32.0,0.74,67.69,72.44,40.47,24.09,56.94,0.01,6.44,19.56,13.06,19.28,8.94,11.94
New Orleans,33.0,-5.90,73.55,79.45,40.18,25.64,61.3,0.01,5.42,17.85,16.85,23.39,11.42,12.33
Niagara,32.0,-7.21,72.47,72.09,40.47,25.69,54.66,0.01,6.22,17.19,14.88,19.78,7.34,11.81
Nicholls State,34.0,-5.37,73.88,73.94,41.32,24.97,56.15,0.01,8.35,22.88,15.59,21.5,9.56,13.24
NJIT,28.0,-4.46,67.93,75.04,40.0,23.68,60.04,0.01,7.18,23.79,13.39,18.89,11.46,11.11
Norfolk State,35.0,-7.76,74.51,67.54,40.14,25.94,56.51,0.01,6.37,18.74,16.26,22.51,10.97,12.14
